Date,Matches,Champion Title,Time,Score,Channel,Status,Round
8/26/2023,لاتسيو - جنوى ,الدوري الإيطالي,21:45,0 - 1 ,Starz Play App,الشوط الثاني,الأسبوع الثاني
8/26/2023,نابولي - ساسولو ,الدوري الإيطالي,21:45,2 - 0 ,Starz Play App,الشوط الثاني,الأسبوع الثاني
8/26/2023,ماينز - آ. فرانكفورت ,الدوري الألماني,16:30,1 - 1 ,بى ان سبورت اكسترا 1,انتهت,الأسبوع الثاني
8/26/2023,بايرن ميونيخ - أوجسبورج ,الدوري الألماني,18:30,3 - 1 ,بى ان سبورت 3 HD,انتهت,الأسبوع الثاني
8/26/2023,رين - لوهافر ,الدوري الفرنسي,14:00,2 - 2 ,بى ان سبورت 2 HD,انتهت,الأسبوع الثالث
8/26/2023,مونبيليه - ريمس ,الدوري الفرنسي,16:00,1 - 3 ,بى ان سبورت 4 HD,انتهت,الأسبوع الثالث
8/26/2023,ستراسبورج - تولوز ,الدوري الفرنسي,16:00,2 - 0 ,بى ان سبورت 6 HD,انتهت,الأسبوع الثالث
8/26/2023,كليرمونت - ميتز ,الدوري الفرنسي,16:00,0 - 1 ,بى ان سبورت 3 HD,انتهت,الأسبوع الثالث
8/26/2023,لوريان - ليل ,الدوري الفرنسي,18:05,4 - 1 ,بى ان سبورت 2 HD,انتهت,الأسبوع الثالث
8/26/2023,نيس - ليون ,الدوري الفرنسي,21:45,0 - 0 ,بى ان سبورت 3 HD,الشوط الثاني,الأسبوع الثالث
8/26/2023,سان جورج - كي إم كي إم ,دوري أبطال إفريقيا,16:00,3 - 1 ,N/A,انتهت,العودة
8/26/2023,جيه.كيه.يو - سينجيدا بيج ستارز ,الكونفيدرالية الإفريقية,19:30,2 - 0 ,N/A,انتهت,العودة
8/26/2023,قيصري سبور - سامسون سبور ,الدوري التركي,19:15,2 - 1 ,بى ان سبورت تركيا,انتهت,الأسبوع الثالث
8/26/2023,فاتح كاراجومروك - أنقرة جوتشو ,الدوري التركي,19:15,1 - 1 ,بى ان سبورت تركيا,انتهت,الأسبوع الثالث
8/26/2023,ألانيا سبور - هاتاي سبور ,الدوري التركي,21:45,1 - 0 ,بى ان سبورت تركيا,الشوط الثاني,الأسبوع الثالث
8/26/2023,اتحاد تطاوين - الترجى الرياضي ,الدوري التونسي,18:30,1 - 1 ,N/A,انتهت,الأسبوع الثاني
8/26/2023,مستقبل المرسى - الصفاقســــي ,الدوري التونسي,18:30,0 - 1 ,N/A,انتهت,الأسبوع الثاني
8/26/2023,البنزرتي - الإتحاد المنستيري ,الدوري التونسي,18:30,0 - 2 ,N/A,انتهت,الأسبوع الثاني
8/26/2023,اتحاد طنجة - الشباب الرياضي السالمي ,الدوري المغربي,19:00,0 - 2 ,N/A,انتهت,الأسبوع الأول
8/26/2023,يوسفية برشيد - الرجاء البيضاوي ,الدوري المغربي,21:15,1 - 3 ,N/A,انتهت,الأسبوع الأول
8/26/2023,نهضة بركان - مولودية وجدة ,الدوري المغربي,23:30,0 - 0 ,N/A,الشوط الأول,الأسبوع الأول
8/26/2023,بوافيستا - كازا بيا ,الدوري البرتغالي,17:30,1 - 1 ,N/A,انتهت,الأسبوع الثالث
8/26/2023,فيتوريا جيماريش - فيزيلا ,الدوري البرتغالي,20:00,2 - 0 ,N/A,انتهت,الأسبوع الثالث
8/26/2023,سبورتينج لشبونة - فاماليكاو ,الدوري البرتغالي,22:30,0 - 0 ,N/A,استراحة,الأسبوع الثالث
8/26/2023,العربي - ام صلال ,دوري نجوم قطر,18:30,1 - 1 ,N/A,انتهت,الأسبوع الثاني
8/26/2023,الوكرة - الشمال ,دوري نجوم قطر,20:30,2 - 2 ,N/A,انتهت,الأسبوع الثاني
8/26/2023,شباب الأهلي - خورفكان ,الدوري الإماراتي,17:00,2 - 1 ,N/A,انتهت,الأسبوع الثاني
8/26/2023,الشــارقة - الوصل ,الدوري الإماراتي,19:30,1 - 3 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,إيطاليا - الدومينيكان ,كأس العالم لكرة السلة,11:00,82 - 87 ,بى ان سبورت 4 HD,انتهت,الجولة الثانية
8/27/2023,أستراليا - ألمانيا ,كأس العالم لكرة السلة,11:30,82 - 85 ,بى ان سبورت 3 HD,انتهت,الجولة الثانية
8/27/2023,الجبل الاسود - مصر ,كأس العالم لكرة السلة,11:45,89 - 74 ,بى ان سبورت 1HD,انتهت,الجولة الثانية
8/27/2023,لبنان - كندا ,كأس العالم لكرة السلة,12:45,73 - 128 ,بى ان سبورت 6 HD,انتهت,الجولة الثانية
8/27/2023,الفلبين - أنجولا ,كأس العالم لكرة السلة,15:00,70 - 80 ,بى ان سبورت 1HD,انتهت,الجولة الثانية
8/27/2023,اليابان - فنلندا ,كأس العالم لكرة السلة,15:10,98 - 88 ,بى ان سبورت HD,انتهت,الجولة الثانية
8/27/2023,ليتوانيا - المكسيك ,كأس العالم لكرة السلة,15:30,96 - 66 ,بى ان سبورت 7 HD,انتهت,الجولة الثانية
8/27/2023,فرنسا - لاتفيا ,كأس العالم لكرة السلة,16:30,86 - 88 ,بى ان سبورت 5 HD,انتهت,الجولة الثانية
8/27/2023,بيرنلي - استون فيلا ,الدوري الإنجليزي,16:00,1 - 3 ,بى ان سبورت بريميوم 2,انتهت,الأسبوع الثالث
8/27/2023,شيفيلد يونايتد - مانشستر سيتي ,الدوري الإنجليزي,16:00,1 - 2 ,بى ان سبورت بريميوم 1,انتهت,الأسبوع الثالث
8/27/2023,نيوكاسل - ليفربول ,الدوري الإنجليزي,18:30,1 - 2 ,بى ان سبورت بريميوم 1,انتهت,الأسبوع الثالث
8/27/2023,فياريال - برشلونة ,الدوري الإسباني,18:30,3 - 4 ,بى ان سبورت 1HD,انتهت,الأسبوع الثالث
8/27/2023,فالنسيا - أوساسونا ,الدوري الإسباني,20:30,1 - 2 ,بى ان سبورت 4 HD,انتهت,الأسبوع الثالث
8/27/2023,اتليتك بلباو - ريال بيتيس ,الدوري الإسباني,22:30,3 - 2 ,بى ان سبورت 1HD,الشوط الأول,الأسبوع الثالث
8/27/2023,الهدى السعودي - وفاق عين التوتة ,البطولة العربية للأندية لكرة اليد,13:00,34 - 32 ,N/A,انتهت,المركز السابع
8/27/2023,الحشد الرياضي العراقي - العربي الكويتي ,البطولة العربية للأندية لكرة اليد,15:00,33 - 32 ,N/A,انتهت,المركز الخامس
8/27/2023,مضر السعودي - البنك الأهلي ,البطولة العربية للأندية لكرة اليد,17:00,28 - 29 ,N/A,انتهت,المركز الثالث
8/27/2023,الزمالك - نادي الكويت ,البطولة العربية للأندية لكرة اليد,19:30,30 - 31 ,الاتحاد العربي لكرة اليد Youtube,انتهت,المباراة النهائية
8/27/2023,يوفنتوس - بولونيا ,الدوري الإيطالي,19:30,1 - 1 ,Starz Play App,انتهت,الأسبوع الثاني
8/27/2023,فيورنتينا - ليتشي ,الدوري الإيطالي,19:30,2 - 2 ,Starz Play App,انتهت,الأسبوع الثاني
8/27/2023,لاتسيو - جنوى ,الدوري الإيطالي,21:45,0 - 1 ,Starz Play App,الشوط الثاني,الأسبوع الثاني
8/27/2023,نابولي - ساسولو ,الدوري الإيطالي,21:45,2 - 0 ,Starz Play App,الشوط الثاني,الأسبوع الثاني
8/27/2023,ماينز - آ. فرانكفورت ,الدوري الألماني,16:30,1 - 1 ,بى ان سبورت اكسترا 1,انتهت,الأسبوع الثاني
8/27/2023,بايرن ميونيخ - أوجسبورج ,الدوري الألماني,18:30,3 - 1 ,بى ان سبورت 3 HD,انتهت,الأسبوع الثاني
8/27/2023,رين - لوهافر ,الدوري الفرنسي,14:00,2 - 2 ,بى ان سبورت 2 HD,انتهت,الأسبوع الثالث
8/27/2023,مونبيليه - ريمس ,الدوري الفرنسي,16:00,1 - 3 ,بى ان سبورت 4 HD,انتهت,الأسبوع الثالث
8/27/2023,ستراسبورج - تولوز ,الدوري الفرنسي,16:00,2 - 0 ,بى ان سبورت 6 HD,انتهت,الأسبوع الثالث
8/27/2023,كليرمونت - ميتز ,الدوري الفرنسي,16:00,0 - 1 ,بى ان سبورت 3 HD,انتهت,الأسبوع الثالث
8/27/2023,لوريان - ليل ,الدوري الفرنسي,18:05,4 - 1 ,بى ان سبورت 2 HD,انتهت,الأسبوع الثالث
8/27/2023,نيس - ليون ,الدوري الفرنسي,21:45,0 - 0 ,بى ان سبورت 3 HD,الشوط الثاني,الأسبوع الثالث
8/27/2023,سان جورج - كي إم كي إم ,دوري أبطال إفريقيا,16:00,3 - 1 ,N/A,انتهت,العودة
8/27/2023,جيه.كيه.يو - سينجيدا بيج ستارز ,الكونفيدرالية الإفريقية,19:30,2 - 0 ,N/A,انتهت,العودة
8/27/2023,قيصري سبور - سامسون سبور ,الدوري التركي,19:15,2 - 1 ,بى ان سبورت تركيا,انتهت,الأسبوع الثالث
8/27/2023,فاتح كاراجومروك - أنقرة جوتشو ,الدوري التركي,19:15,1 - 1 ,بى ان سبورت تركيا,انتهت,الأسبوع الثالث
8/27/2023,ألانيا سبور - هاتاي سبور ,الدوري التركي,21:45,1 - 0 ,بى ان سبورت تركيا,الشوط الثاني,الأسبوع الثالث
8/27/2023,اتحاد تطاوين - الترجى الرياضي ,الدوري التونسي,18:30,1 - 1 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,مستقبل المرسى - الصفاقســــي ,الدوري التونسي,18:30,0 - 1 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,البنزرتي - الإتحاد المنستيري ,الدوري التونسي,18:30,0 - 2 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,اتحاد طنجة - الشباب الرياضي السالمي ,الدوري المغربي,19:00,0 - 2 ,N/A,انتهت,الأسبوع الأول
8/27/2023,يوسفية برشيد - الرجاء البيضاوي ,الدوري المغربي,21:15,1 - 3 ,N/A,انتهت,الأسبوع الأول
8/27/2023,نهضة بركان - مولودية وجدة ,الدوري المغربي,23:30,0 - 0 ,N/A,الشوط الأول,الأسبوع الأول
8/27/2023,بوافيستا - كازا بيا ,الدوري البرتغالي,17:30,1 - 1 ,N/A,انتهت,الأسبوع الثالث
8/27/2023,فيتوريا جيماريش - فيزيلا ,الدوري البرتغالي,20:00,2 - 0 ,N/A,انتهت,الأسبوع الثالث
8/27/2023,سبورتينج لشبونة - فاماليكاو ,الدوري البرتغالي,22:30,0 - 0 ,N/A,استراحة,الأسبوع الثالث
8/27/2023,العربي - ام صلال ,دوري نجوم قطر,18:30,1 - 1 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,الوكرة - الشمال ,دوري نجوم قطر,20:30,2 - 2 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,شباب الأهلي - خورفكان ,الدوري الإماراتي,17:00,2 - 1 ,N/A,انتهت,الأسبوع الثاني
8/27/2023,الشــارقة - الوصل ,الدوري الإماراتي,19:30,1 - 3 ,N/A,انتهت,الأسبوع الثاني
